bill_id,,title,summary,congress_num,sponsor_party,sponsor_state,cosponsors_total,cosponsors_dem,cosponsors_rep,cosponsors_ind,month_introduced,subject,committees,url,senate_probabilities,senate_predictions
S. ,831,"A bill to address transnational repression by foreign governments against private individuals, and for other purposes.",,118,D,OR,3,1,2,0,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/831,0.24%,0
S. ,830,A bill to amend the Internal Revenue Code of 1986 to increase the limitation on the amount individuals filing jointly can deduct for certain State and local taxes.,,118,R,ME,0,0,0,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/830,0.24%,0
S. ,829,A bill to amend the Lobbying Disclosure Act of 1995 to clarify a provision relating to certain contents of registrations under that Act.,,118,R,IA,7,4,2,1,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/829,0.24%,0
S. ,828,"A bill to codify and authorize the Federal Communications Commission's establishment of a council to make recommendations on ways to increase the security, reliability, and interoperability of communications networks, and for other purposes.",,118,D,MI,1,0,1,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/828,0.24%,0
S. ,827,"A bill to provide that no Federal funds may be used to implement, administer, or enforce the rule of the Department of Justice entitled ""Factoring Criteria for Firearms with Attached 'Stabilizing Braces'"".",,118,R,LA,1,0,1,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/827,0.24%,0
S. ,826,A bill to facilitate the development of a whole-of-government strategy for nuclear cooperation and nuclear exports.,,118,D,WV,1,0,1,0,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/826,0.24%,0
S. ,825,"A bill to provide limitations of special assessments on community banks, and for other purposes.",,118,R,MO,1,0,1,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/825,0.24%,0
S. ,824,"A bill to require the Secretary of Homeland Security to establish a national risk management cycle, and for other purposes.",,118,D,NH,1,0,1,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/824,0.24%,0
S. ,823,A bill to hold social media companies liable for hosting or distributing child sexual abuse material.,,118,R,MO,0,0,0,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/823,0.24%,0
S. ,822,"A bill to terminate the Department of Defense memorandum relating to access to abortions, to prohibit the use of travel and transportation allowances, medical convalescent leave, and administrative absences to travel to obtain abortions, and for other purposes.",,118,R,IA,36,0,36,0,3,,Senate - Armed Services,https://www.congress.gov/bill/118th-congress/senate-bill/822,0.24%,0
S. ,821,A bill to establish an Ambassador-at-Large for the Arctic Region.,,118,R,AK,6,2,3,1,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/821,0.24%,0
S. ,820,A bill to add the Consumer Product Safety Commission to the list of agencies required to be represented on the PFAS interagency working group.,,118,D,MI,3,1,2,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/820,0.24%,0
S. ,819,"A bill to protect immigrant families, combat fraud, promote citizenship, and build community trust, and for other purposes.",,118,D,NV,0,0,0,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/819,0.24%,0
S. ,818,"A bill to promote affordable access to evidence-based opioid treatments under the Medicare program and require coverage of medication assisted treatment for opioid use disorders, opioid overdose reversal medications, and recovery support services by health plans without cost-sharing requirements.",,118,D,PA,3,3,0,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/818,0.24%,0
S. ,817,"A bill to repeal title IV of the Economic Growth, Regulatory Relief, and Consumer Protection Act.",,118,D,MA,17,16,0,1,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/817,0.39%,0
S. ,816,"A bill to require the Administrator of the Federal Aviation Administration to establish an Aviation Rulemaking Committee to make recommendations regarding continuous aircraft tracking and transmission of identity, altitude, and location data for high altitude balloons, and for other purposes.",,118,D,AZ,1,0,1,0,3,,"Senate - Commerce, Science, and Transportation",https://www.congress.gov/bill/118th-congress/senate-bill/816,0.24%,0
S. ,815,"A bill to award a Congressional Gold Medal to the female telephone operators of the Army Signal Corps, known as the ""Hello Girls"".",,118,D,MT,3,1,2,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/815,0.24%,0
S. ,814,A bill to allow the Secretary of Homeland Security to designate Romania as a program country under the visa waiver program.,,118,D,IL,2,1,1,0,3,,Senate - Judiciary,https://www.congress.gov/bill/118th-congress/senate-bill/814,0.24%,0
S. ,813,"A bill to direct the Secretary of Agriculture to amend regulations to allow for certain packers to have an interest in market agencies, and for other purposes.",,118,D,NM,3,0,3,0,3,,"Senate - Agriculture, Nutrition, and Forestry",https://www.congress.gov/bill/118th-congress/senate-bill/813,0.24%,0
S. ,812,A bill to strengthen employee cost savings suggestions programs within the Federal Government.,,118,R,KY,1,1,0,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/812,0.24%,0
S. ,811,"A bill to amend the Securities Exchange Act of 1934 to further enhance anti-retaliation protections for whistleblowers, and for other purposes.",,118,R,IA,4,3,1,0,3,,"Senate - Banking, Housing, and Urban Affairs",https://www.congress.gov/bill/118th-congress/senate-bill/811,0.24%,0
S. ,810,"A bill to create requirements relating to memorials submitted pursuant to Article V of the Constitution of the United States, and for other purposes.",,118,R,IN,0,0,0,0,3,,Senate - Rules and Administration,https://www.congress.gov/bill/118th-congress/senate-bill/810,0.24%,0
S. ,809,A bill to transfer funds for Energy Efficiency Improvements and Renewable Energy Improvements at Public School Facilities to the Attorney General to award grants to States to promote safety and security in schools.,,118,R,SD,3,0,3,0,3,,Senate - Energy and Natural Resources,https://www.congress.gov/bill/118th-congress/senate-bill/809,0.24%,0
S. ,808,"A bill to amend the Healthy Forests Restoration Act of 2003 to require the Secretary of Agriculture to expedite hazardous fuel or insect and disease risk reduction projects on certain National Forest System land, and for other purposes.",,118,R,SD,0,0,0,0,3,,"Senate - Agriculture, Nutrition, and Forestry",https://www.congress.gov/bill/118th-congress/senate-bill/808,0.24%,0
S. ,807,"A bill to require the head of each agency to establish a plan to resume in-person operations, and for other purposes.",,118,R,MS,0,0,0,0,3,,Senate - Homeland Security and Governmental Affairs,https://www.congress.gov/bill/118th-congress/senate-bill/807,0.24%,0
S. ,806,"A bill to amend the Consolidated Farm and Rural Development Act to establish a grant program to assist with the purchase, installation, and maintenance of point-of-entry and point-of-use drinking water quality improvement products, and for other purposes.",,118,D,WI,4,2,1,1,3,,"Senate - Agriculture, Nutrition, and Forestry",https://www.congress.gov/bill/118th-congress/senate-bill/806,0.24%,0
S. ,805,"A bill to amend the Tariff Act of 1930 to increase civil penalties for, and improve enforcement with respect to, customs fraud, and for other purposes.",,118,D,OH,1,0,1,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/805,0.24%,0
S. ,804,"A bill to provide for security in the Black Sea region, and for other purposes.",,118,D,NH,8,3,4,1,3,,Senate - Foreign Relations,https://www.congress.gov/bill/118th-congress/senate-bill/804,0.24%,0
S. ,803,A bill to amend the title XVIII of the Social Security Act to preserve access to rural health care by ensuring fairness in Medicare hospital payments.,,118,D,VA,7,2,5,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/803,0.24%,0
S. ,802,"A bill to amend the Federal Insecticide, Fungicide, and Rodenticide Act to provide for a consistent definition for plant biostimulants.",,118,R,IN,1,1,0,0,3,,"Senate - Agriculture, Nutrition, and Forestry",https://www.congress.gov/bill/118th-congress/senate-bill/802,0.24%,0
S. ,801,"A bill to address research on, and improve access to, supportive services for individuals with Long COVID.",,118,D,VA,10,9,0,1,3,,"Senate - Health, Education, Labor, and Pensions",https://www.congress.gov/bill/118th-congress/senate-bill/801,0.39%,0
S. ,800,A bill to amend the Internal Revenue Code of 1986 to impose a higher rate of tax on bonuses and profits from sales of stock received by executives employed by failing banks that were closed and for which the Federal Deposit Insurance Corporation has been appointed as conservator or receiver.,,118,D,CT,1,0,0,1,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/800,0.24%,0
S. ,799,"A bill to amend title XVIII of the Social Security Act to provide Medicare coverage for all physicians' services furnished by doctors of chiropractic within the scope of their license, and for other purposes.",,118,D,CT,6,2,4,0,3,,Senate - Finance,https://www.congress.gov/bill/118th-congress/senate-bill/799,0.24%,0
S. ,798,"A bill to amend title 54, United States Code, to authorize the Secretary of the Interior to make financial assistance to States under the Land and Water Conservation Fund available for water quality projects, and for other purposes.",,118,R,FL,0,0,0,0,3,,Senate - Energy and Natural Resources,https://www.congress.gov/bill/118th-congress/senate-bill/798,0.24%,0
